forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-10-16,US,D,deluxe,0.227,23.56,24.0,20.0,27.0,2.7,-0.98,6.35
2018-10-16,US,R,deluxe,0.6257,26.39,26.0,23.0,30.0,-2.7,0.98,-6.35
2018-10-17,US,D,deluxe,0.2229,23.54,24.0,20.0,27.0,2.64,-0.99,6.3
2018-10-17,US,R,deluxe,0.6319,26.41,26.0,23.0,30.0,-2.64,0.99,-6.3
2018-10-18,US,D,deluxe,0.2233,23.54,24.0,20.0,27.0,2.62,-1.02,6.26
2018-10-18,US,R,deluxe,0.632,26.41,26.0,23.0,30.0,-2.62,1.02,-6.26
2018-10-19,US,D,deluxe,0.2471,23.68,24.0,20.0,27.0,2.64,-1.0,6.25
2018-10-19,US,R,deluxe,0.6162,26.32,26.0,23.0,30.0,-2.64,1.0,-6.25
2018-10-20,US,D,deluxe,0.2485,23.7,24.0,20.0,27.0,2.69,-0.92,6.26
2018-10-20,US,R,deluxe,0.6113,26.3,26.0,23.0,30.0,-2.69,0.92,-6.26
2018-10-21,US,D,deluxe,0.2584,23.78,24.0,20.0,27.0,2.77,-0.8,6.33
2018-10-21,US,R,deluxe,0.6007,26.22,26.0,23.0,30.0,-2.77,0.8,-6.33
2018-10-22,US,D,deluxe,0.276,23.93,24.0,21.0,27.0,2.98,-0.59,6.57
2018-10-22,US,R,deluxe,0.5789,26.07,26.0,23.0,29.0,-2.98,0.59,-6.57
2018-10-23,US,D,deluxe,0.2634,23.83,24.0,20.0,27.0,2.9,-0.67,6.45
2018-10-23,US,R,deluxe,0.5944,26.17,26.0,23.0,30.0,-2.9,0.67,-6.45
2018-10-24,US,D,deluxe,0.2462,23.7,24.0,20.0,27.0,2.8,-0.74,6.34
2018-10-24,US,R,deluxe,0.6164,26.3,26.0,23.0,30.0,-2.8,0.74,-6.34
2018-10-25,US,D,deluxe,0.2456,23.7,24.0,20.0,27.0,2.6,-0.9,6.12
2018-10-25,US,R,deluxe,0.6133,26.3,26.0,23.0,30.0,-2.6,0.9,-6.12
2018-10-26,US,D,deluxe,0.2526,23.75,24.0,20.0,27.0,2.58,-0.92,6.09
2018-10-26,US,R,deluxe,0.6079,26.25,26.0,23.0,30.0,-2.58,0.92,-6.09
2018-10-27,US,D,deluxe,0.2483,23.7,24.0,20.0,27.0,2.53,-0.97,6.04
2018-10-27,US,R,deluxe,0.6157,26.3,26.0,23.0,30.0,-2.53,0.97,-6.04
2018-10-28,US,D,deluxe,0.2488,23.71,24.0,20.0,27.0,2.53,-0.92,6.0
2018-10-28,US,R,deluxe,0.6143,26.29,26.0,23.0,30.0,-2.53,0.92,-6.0
2018-10-29,US,D,deluxe,0.261,23.81,24.0,20.0,27.0,2.6,-0.86,6.07
2018-10-29,US,R,deluxe,0.6002,26.19,26.0,23.0,30.0,-2.6,0.86,-6.07
2018-10-30,US,D,deluxe,0.2586,23.81,24.0,20.0,27.0,2.64,-0.82,6.09
2018-10-30,US,R,deluxe,0.6,26.19,26.0,23.0,30.0,-2.64,0.82,-6.09
2018-10-31,US,D,deluxe,0.2591,23.79,24.0,20.0,27.0,2.46,-0.98,5.84
2018-10-31,US,R,deluxe,0.6007,26.21,26.0,23.0,30.0,-2.46,0.98,-5.84
2018-11-01,US,D,deluxe,0.2671,23.83,24.0,20.0,27.0,2.5,-0.87,5.89
2018-11-01,US,R,deluxe,0.5919,26.17,26.0,23.0,30.0,-2.5,0.87,-5.89
2018-11-02,US,D,deluxe,0.2586,23.78,24.0,20.0,27.0,2.55,-0.83,5.89
2018-11-02,US,R,deluxe,0.5982,26.22,26.0,23.0,30.0,-2.55,0.83,-5.89
2018-11-03,US,D,deluxe,0.2598,23.75,24.0,20.0,27.0,2.59,-0.76,5.89
2018-11-03,US,R,deluxe,0.6047,26.25,26.0,23.0,30.0,-2.59,0.76,-5.89
2018-11-04,US,D,deluxe,0.2365,23.59,24.0,20.0,27.0,2.21,-1.1,5.5
2018-11-04,US,R,deluxe,0.6282,26.41,26.0,23.0,30.0,-2.21,1.1,-5.5
2018-11-05,US,D,deluxe,0.3112,24.17,24.0,21.0,27.0,2.25,-1.0,5.52
2018-11-05,US,R,deluxe,0.5376,25.83,26.0,23.0,29.0,-2.25,1.0,-5.52
2018-11-06,US,D,deluxe,0.3137,24.18,24.0,21.0,27.0,2.29,-0.99,5.54
2018-11-06,US,R,deluxe,0.5358,25.82,26.0,23.0,29.0,-2.29,0.99,-5.54
