name,league,rank,prev_rank,off,def,spi
Godoy Cruz,Argentina Primera Division,199,201,1.2,1.1,46.1
Cruz Azul,Mexican Primera Division Torneo Apertura,200,189,1.1,1.1,46.1
Vasco da Gama,Brasileiro Série A,201,202,1.1,1.1,46
Huddersfield Town,Barclays Premier League,202,193,1.2,1.2,45.8
León,Mexican Primera Division Torneo Apertura,203,207,1.4,1.4,45.8
Cardiff City,English League Championship,204,203,1.2,1.2,45.7
Fluminense,Brasileiro Série A,205,206,1.3,1.3,45.5
Numancia,Spanish Segunda Division,206,204,1.2,1.2,45.5
Middlesbrough,English League Championship,207,226,1.2,1.2,45.2
Parma,Italy Serie B,208,196,1,1,45.1
1. FC Nürnberg,German 2. Bundesliga,209,209,1.4,1.5,45
Colon Santa Fe,Argentina Primera Division,210,211,1.1,1.1,44.6
Toluca,Mexican Primera Division Torneo Apertura,211,231,1.3,1.4,44.5
Anzhi Makhachkala,Russian Premier Liga,212,213,1.4,1.4,44.5
Belgrano Cordoba,Argentina Primera Division,213,214,1,1,44.5
Empoli,Italy Serie B,214,210,1.5,1.6,44.5
FC Zorya Luhansk,UEFA Europa League,215,215,1.2,1.2,44.4
Velez Sarsfield,Argentina Primera Division,216,217,1,1.1,44.3
Santos Laguna,Mexican Primera Division Torneo Apertura,217,220,1.4,1.5,44.2
Chaves,Portuguese Liga,218,208,1.3,1.3,44.2
SV Zulte Waregem,UEFA Europa League,219,222,1.5,1.6,44.1
Lausanne Sports,Swiss Raiffeisen Super League,220,223,1.6,1.7,44
Lugo,Spanish Segunda Division,221,252,1.1,1.1,44
Pachuca,Mexican Primera Division Torneo Apertura,222,233,1.4,1.4,43.8
Bursaspor,Turkish Turkcell Super Lig,223,187,1.3,1.3,43.8
Brentford,English League Championship,224,236,1.4,1.5,43.7
Lens,French Ligue 2,225,225,1.1,1.2,43.7
Goztepe,Turkish Turkcell Super Lig,226,227,1.4,1.4,43.5
Holstein Kiel,German 2. Bundesliga,227,224,1.3,1.4,43.5
Seattle Sounders FC,Major League Soccer,228,228,1.2,1.3,43.3
Coritiba,Brasileiro Série A,229,229,1.2,1.3,43.2
FK Austria Vienna,Austrian T-Mobile Bundesliga,230,230,1.4,1.5,43.2
Gimnasia La Plata,Argentina Primera Division,231,232,1.2,1.2,43.1
Lorient,French Ligue 2,232,198,1.4,1.5,43.1
Le Havre,French Ligue 2,233,218,1,1.1,43
Real Valladolid,Spanish Segunda Division,234,238,1.5,1.7,42.7
Grasshoppers Zürich,Swiss Raiffeisen Super League,235,235,1.3,1.4,42.7
Sheffield United,English League Championship,236,253,1.2,1.3,42.7
