name,league,rank,prev_rank,off,def,spi
Dynamo Kiev,UEFA Europa League,43,44,2,0.9,70.2
Getafe,Spanish Primera Division,44,48,1.8,0.7,69.9
Fiorentina,Italy Serie A,45,39,1.9,0.8,69.8
Leganes,Spanish Primera Division,46,41,1.6,0.6,69.7
FC Augsburg,German Bundesliga,47,45,2,0.9,69.3
Girona FC,Spanish Primera Division,48,51,1.9,0.9,68.5
Lokomotiv Moscow,Russian Premier Liga,49,50,1.7,0.7,68.2
TSG Hoffenheim,German Bundesliga,50,46,1.9,0.9,67.8
FC Salzburg,Austrian T-Mobile Bundesliga,51,53,1.8,0.8,67.3
PSV,Dutch Eredivisie,52,52,2.3,1.3,67.1
Werder Bremen,German Bundesliga,53,58,1.9,0.9,67
AC Milan,Italy Serie A,54,55,1.8,0.9,66.8
VfL Wolfsburg,German Bundesliga,55,49,1.8,0.9,66.5
Besiktas,Turkish Turkcell Super Lig,56,56,1.8,0.9,66.2
Leicester City,Barclays Premier League,57,59,1.8,0.9,66
Hertha Berlin,German Bundesliga,58,60,1.8,0.9,65
Sampdoria,Italy Serie A,59,68,2,1.1,64.8
Udinese,Italy Serie A,60,57,1.8,0.9,64.7
Istanbul Basaksehir,Turkish Turkcell Super Lig,61,73,1.8,0.9,64.7
Espanyol,Spanish Primera Division,62,54,1.5,0.7,64.3
FC Krasnodar,Russian Premier Liga,63,62,1.8,1,64.3
Boca Juniors,Argentina Primera Division,64,63,1.6,0.8,64.3
Alavés,Spanish Primera Division,65,64,1.6,0.8,64
Hannover 96,German Bundesliga,66,70,1.9,1.1,64
Torino,Italy Serie A,67,66,1.8,1,63.6
Real Betis,Spanish Primera Division,68,61,1.9,1.1,63.6
Mainz,German Bundesliga,69,71,1.8,1,63.4
Málaga,Spanish Primera Division,70,69,1.6,0.9,63.2
Crystal Palace,Barclays Premier League,71,65,1.7,1,63.1
Deportivo La Coruña,Spanish Primera Division,72,67,1.8,1,62.8
SC Freiburg,German Bundesliga,73,76,1.8,1.1,61.8
Fenerbahce,Turkish Turkcell Super Lig,74,75,1.8,1.1,61.2
Feyenoord,Dutch Eredivisie,75,72,1.9,1.2,60.8
Young Boys,Swiss Raiffeisen Super League,76,79,1.9,1.2,60.8
Montpellier,French Ligue 1,77,87,1.4,0.7,60.7
Viktoria Plzen,UEFA Europa League,78,80,1.8,1.2,60.7
Nice,French Ligue 1,79,86,1.5,0.9,60.5
Olympiacos,UEFA Champions League,80,83,1.6,1,60.4
Burnley,Barclays Premier League,81,82,1.4,0.8,60.3
Malmo FF,Swedish Allsvenskan,82,84,1.8,1.2,60.3
Braga,Portuguese Liga,83,77,1.7,1,59.9
Anderlecht,UEFA Champions League,84,85,1.7,1.1,59.8
FC Cologne,German Bundesliga,85,98,1.7,1,59.7
VfB Stuttgart,German Bundesliga,86,81,1.6,0.9,59.7
Hamburg SV,German Bundesliga,87,74,1.6,1,59.6
Southampton,Barclays Premier League,88,88,1.6,1,59.6
Stade Rennes,French Ligue 1,89,103,1.4,0.9,59.2
Nantes,French Ligue 1,90,78,1.3,0.8,58.8
Galatasaray,Turkish Turkcell Super Lig,91,91,1.9,1.3,58.7
Angers,French Ligue 1,92,93,1.5,0.9,58.4
Sassuolo,Italy Serie A,93,94,1.6,1,58.3
West Ham United,Barclays Premier League,94,92,1.7,1.2,58.2
Bordeaux,French Ligue 1,95,90,1.4,0.9,58.2
Red Star Belgrade,UEFA Europa League,96,95,1.9,1.3,58
Slavia Prague,UEFA Europa League,97,97,1.6,1,57.7
Celtic,Scottish Premiership,98,99,1.8,1.3,57.4
Watford,Barclays Premier League,99,96,1.7,1.2,57.4
Levante,Spanish Primera Division,100,102,1.5,1,57.4
Genoa,Italy Serie A,101,100,1.4,0.9,57.3
