president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,All polls,12/15/2017,36.45856,41.09477,31.82236,57.43106,62.48951,52.37261,15:40:22 15 Dec 2017
Donald Trump,Adults,12/14/2017,35.57671,39.45999,31.69342,57.35314,62.21434,52.49194,16:09:24 14 Dec 2017
Donald Trump,Voters,12/14/2017,38.49307,43.12283,33.86332,56.5584,60.78818,52.32861,16:09:30 14 Dec 2017
Donald Trump,All polls,12/14/2017,37.07505,41.67421,32.47588,56.79411,61.32002,52.2682,16:09:17 14 Dec 2017
Donald Trump,Adults,12/13/2017,35.46254,39.26604,31.65903,57.3914,62.29413,52.48867,19:58:24 13 Dec 2017
Donald Trump,Voters,12/13/2017,38.08359,42.82822,33.33895,56.67448,61.04711,52.30185,19:58:29 13 Dec 2017
Donald Trump,All polls,12/13/2017,36.66145,41.23801,32.08489,56.84941,61.49991,52.19891,19:58:17 13 Dec 2017
Donald Trump,Voters,12/12/2017,39.10435,43.67833,34.53038,55.95634,60.43566,51.47703,20:29:29 12 Dec 2017
Donald Trump,Adults,12/12/2017,35.99963,39.58548,32.41379,57.93578,62.80088,53.07068,20:29:23 12 Dec 2017
Donald Trump,All polls,12/12/2017,37.17878,41.6306,32.72696,57.00034,61.66032,52.34037,20:29:17 12 Dec 2017
Donald Trump,Voters,12/11/2017,39.00207,43.99907,34.00508,55.85435,60.61282,51.09588,13:06:31 11 Dec 2017
Donald Trump,Adults,12/11/2017,36.2524,40.00078,32.50401,57.43421,62.4935,52.37493,13:06:25 11 Dec 2017
Donald Trump,All polls,12/11/2017,37.07095,41.68771,32.4542,56.75324,61.64172,51.86476,13:06:19 11 Dec 2017
Donald Trump,Voters,12/10/2017,39.03798,43.97707,34.09888,55.87618,60.59116,51.16121,18:24:29 10 Dec 2017
Donald Trump,Adults,12/10/2017,36.33047,40.0551,32.60583,57.33792,62.36638,52.30947,18:24:24 10 Dec 2017
Donald Trump,All polls,12/10/2017,37.12042,41.69753,32.54332,56.69955,61.57387,51.82524,18:24:17 10 Dec 2017
Donald Trump,Adults,12/9/2017,36.50823,40.32417,32.69229,56.97471,62.03435,51.91507,13:17:24  9 Dec 2017
Donald Trump,Voters,12/9/2017,39.24728,44.29839,34.19617,55.49886,60.23919,50.75853,13:17:29  9 Dec 2017
Donald Trump,All polls,12/9/2017,37.26849,41.89824,32.63873,56.41706,61.28215,51.55198,13:17:17  9 Dec 2017
Donald Trump,Adults,12/8/2017,36.52957,40.34542,32.71372,56.96902,62.01908,51.91897,13:05:25  8 Dec 2017
Donald Trump,Voters,12/8/2017,39.24728,44.29839,34.19617,55.49886,60.23919,50.75853,13:05:30  8 Dec 2017
Donald Trump,All polls,12/8/2017,37.28476,41.90453,32.66499,56.4149,61.26764,51.56216,13:05:18  8 Dec 2017
