"","subgroup","modeldate","dem_estimate","dem_hi","dem_lo","rep_estimate","rep_hi","rep_lo","timestamp"
"46","Voters","12/31/2017",49.90655,55.48521,44.32788,36.96237,41.49836,32.42639,"18:00:13 31 Dec 2017"
"47","Adults","12/31/2017",47.03029,54.82681,39.23377,32.57988,38.98839,26.17136,"18:00:11 31 Dec 2017"
"48","All polls","12/31/2017",49.88762,55.45254,44.3227,37.01371,41.55365,32.47378,"18:00:10 31 Dec 2017"
"49","Adults","12/30/2017",47.03029,54.82681,39.23377,32.57988,38.98839,26.17136,"18:00:11 30 Dec 2017"
"50","Voters","12/30/2017",49.90655,55.48521,44.32788,36.96237,41.49836,32.42639,"18:00:13 30 Dec 2017"
"51","All polls","12/30/2017",49.88762,55.45254,44.3227,37.01371,41.55365,32.47378,"18:00:10 30 Dec 2017"
"52","Voters","12/29/2017",49.90655,55.48521,44.32788,36.96237,41.49836,32.42639,"13:59:09 29 Dec 2017"
"53","Adults","12/29/2017",47.03029,54.82681,39.23377,32.57988,38.98839,26.17136,"13:59:07 29 Dec 2017"
"54","All polls","12/29/2017",49.88762,55.45254,44.3227,37.01371,41.55365,32.47378,"13:59:06 29 Dec 2017"
"55","Voters","12/28/2017",50.08775,55.67794,44.49756,37.221,41.68802,32.75398,"03:19:09 28 Dec 2017"
"56","Adults","12/28/2017",46.71109,54.72491,38.69728,32.67593,39.14636,26.2055,"03:19:08 28 Dec 2017"
"57","All polls","12/28/2017",50.06739,55.64383,44.49096,37.26202,41.73296,32.79107,"03:19:07 28 Dec 2017"
"58","Voters","12/27/2017",50.12361,55.72027,44.52695,36.76059,41.2511,32.27007,"18:00:14 27 Dec 2017"
"59","Adults","12/27/2017",46.71109,54.72491,38.69728,32.67593,39.14636,26.2055,"18:00:12 27 Dec 2017"
"60","All polls","12/27/2017",50.1036,55.68661,44.5206,36.80288,41.29723,32.30853,"18:00:12 27 Dec 2017"
"61","Voters","12/26/2017",50.12361,55.72027,44.52695,36.76059,41.2511,32.27007,"15:55:10 26 Dec 2017"
"62","Adults","12/26/2017",46.71109,54.72491,38.69728,32.67593,39.14636,26.2055,"15:55:08 26 Dec 2017"
"63","All polls","12/26/2017",50.1036,55.68661,44.5206,36.80288,41.29723,32.30853,"15:55:08 26 Dec 2017"
"64","Voters","12/25/2017",50.11104,55.71498,44.5071,37.27848,41.52316,33.03379,"18:00:13 25 Dec 2017"
"65","Adults","12/25/2017",46.57969,54.72973,38.42964,33.43643,39.79368,27.07918,"18:00:12 25 Dec 2017"
"66","All polls","12/25/2017",50.09433,55.68482,44.50384,37.30924,41.55764,33.06084,"18:00:11 25 Dec 2017"
"67","Voters","12/24/2017",50.11104,55.71498,44.5071,37.27848,41.52316,33.03379,"03:39:10 24 Dec 2017"
"68","Adults","12/24/2017",46.57969,54.72973,38.42964,33.43643,39.79368,27.07918,"03:39:08 24 Dec 2017"
"69","All polls","12/24/2017",50.09433,55.68482,44.50384,37.30924,41.55764,33.06084,"03:39:07 24 Dec 2017"
"70","Voters","12/23/2017",49.65071,55.33551,43.9659,37.37798,41.57919,33.17677,"18:00:13 23 Dec 2017"
"71","Adults","12/23/2017",46.23148,54.60793,37.85503,33.8049,40.15864,27.45116,"18:00:12 23 Dec 2017"
"72","All polls","12/23/2017",49.63818,55.30949,43.96686,37.40224,41.60716,33.19731,"18:00:11 23 Dec 2017"
"73","Adults","12/22/2017",46.23148,54.60793,37.85503,33.8049,40.15864,27.45116,"18:00:12 22 Dec 2017"
"74","Voters","12/22/2017",49.65071,55.33551,43.9659,37.37798,41.57919,33.17677,"18:00:13 22 Dec 2017"
"75","All polls","12/22/2017",49.63818,55.30949,43.96686,37.40224,41.60716,33.19731,"18:00:11 22 Dec 2017"
"76","Voters","12/21/2017",49.65071,55.33551,43.9659,37.37798,41.57919,33.17677,"18:00:13 21 Dec 2017"
"77","Adults","12/21/2017",46.23148,54.60793,37.85503,33.8049,40.15864,27.45116,"18:00:12 21 Dec 2017"
"78","All polls","12/21/2017",49.63818,55.30949,43.96686,37.40224,41.60716,33.19731,"18:00:11 21 Dec 2017"
"79","Voters","12/20/2017",49.65071,55.33551,43.9659,37.37798,41.57919,33.17677,"14:53:11 20 Dec 2017"
"80","Adults","12/20/2017",46.23148,54.60793,37.85503,33.8049,40.15864,27.45116,"14:53:09 20 Dec 2017"
"81","All polls","12/20/2017",49.63818,55.30949,43.96686,37.40224,41.60716,33.19731,"14:53:08 20 Dec 2017"
"82","Voters","12/19/2017",49.32853,54.85669,43.80037,36.96882,40.96868,32.96896,"14:43:09 19 Dec 2017"
"83","Adults","12/19/2017",42.49944,47.29316,37.70572,31.96229,36.76543,27.15915,"14:43:07 19 Dec 2017"
"84","All polls","12/19/2017",49.3023,54.81668,43.78791,36.98446,40.98871,32.9802,"14:43:06 19 Dec 2017"
"85","Adults","12/18/2017",45.90569,53.36852,38.44286,35.4286,42.01481,28.84238,"18:22:08 18 Dec 2017"
"86","Voters","12/18/2017",48.68662,54.36184,43.01141,37.48215,41.37469,33.5896,"18:22:09 18 Dec 2017"
"87","All polls","12/18/2017",48.91276,54.48834,43.33718,37.5025,41.39843,33.60657,"18:22:07 18 Dec 2017"
"88","Voters","12/17/2017",48.47329,54.22686,42.71971,37.59333,41.53505,33.6516,"15:44:09 17 Dec 2017"
"89","Adults","12/17/2017",45.90569,53.36852,38.44286,35.4286,42.01481,28.84238,"15:44:08 17 Dec 2017"
"90","All polls","12/17/2017",48.74686,54.42113,43.07259,37.61108,41.57438,33.64779,"15:44:07 17 Dec 2017"
"91","Adults","12/16/2017",41.82461,47.00952,36.6397,33.01813,37.90761,28.12865,"18:00:11 16 Dec 2017"
"92","Voters","12/16/2017",48.47329,54.22686,42.71971,37.59333,41.53505,33.6516,"18:00:13 16 Dec 2017"
"93","All polls","12/16/2017",48.46986,54.20948,42.73024,37.64967,41.59542,33.70393,"18:00:10 16 Dec 2017"
"94","Adults","12/15/2017",41.82461,47.00952,36.6397,33.01813,37.90761,28.12865,"15:43:07 15 Dec 2017"
"95","Voters","12/15/2017",48.47329,54.22686,42.71971,37.59333,41.53505,33.6516,"15:43:09 15 Dec 2017"
"96","All polls","12/15/2017",48.46986,54.20948,42.73024,37.64967,41.59542,33.70393,"15:43:06 15 Dec 2017"
"97","Voters","12/14/2017",48.70247,54.53099,42.87394,37.78735,41.64703,33.92767,"16:15:10 14 Dec 2017"
"98","Adults","12/14/2017",40.88459,46.46343,35.30574,34.11362,39.10289,29.12436,"16:15:09 14 Dec 2017"
"99","All polls","12/14/2017",48.69125,54.50594,42.87657,37.83356,41.69732,33.96981,"16:15:08 14 Dec 2017"
"100","Adults","12/13/2017",40.88459,46.46343,35.30574,34.11362,39.10289,29.12436,"13:30:11 13 Dec 2017"
"101","Voters","12/13/2017",48.20757,54.01416,42.40097,37.12793,40.84842,33.40745,"13:30:12 13 Dec 2017"
"102","All polls","12/13/2017",48.2,53.99256,42.40745,37.18164,40.90543,33.45784,"13:30:10 13 Dec 2017"
"103","Voters","12/12/2017",47.24899,53.15026,41.34771,37.40862,41.43608,33.38115,"20:32:09 12 Dec 2017"
"104","Adults","12/12/2017",40.88459,46.46343,35.30574,34.11362,39.10289,29.12436,"20:32:08 12 Dec 2017"
"105","All polls","12/12/2017",47.24332,53.13039,41.35624,37.47711,41.50762,33.4466,"20:32:07 12 Dec 2017"
"106","Voters","12/11/2017",46.16527,51.99783,40.33271,37.54392,41.70464,33.3832,"18:00:12 11 Dec 2017"
"107","Adults","12/11/2017",41.16565,46.92412,35.40717,34.53572,39.64394,29.4275,"18:00:10 11 Dec 2017"
"108","All polls","12/11/2017",46.17092,51.98892,40.35292,37.62837,41.79198,33.46476,"18:00:09 11 Dec 2017"
"109","Voters","12/10/2017",46.16527,51.99783,40.33271,37.54392,41.70464,33.3832,"18:27:09 10 Dec 2017"
"110","Adults","12/10/2017",41.16565,46.92412,35.40717,34.53572,39.64394,29.4275,"18:27:07 10 Dec 2017"
"111","All polls","12/10/2017",46.17092,51.98892,40.35292,37.62837,41.79198,33.46476,"18:27:06 10 Dec 2017"
"112","Voters","12/9/2017",46.23388,52.0851,40.38266,37.97556,42.08656,33.86456,"18:00:12  9 Dec 2017"
"113","Adults","12/9/2017",40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,"18:00:10  9 Dec 2017"
"114","All polls","12/9/2017",46.23886,52.0757,40.40202,38.05549,42.1697,33.94128,"18:00:10  9 Dec 2017"
"115","Voters","12/8/2017",46.23388,52.0851,40.38266,37.97556,42.08656,33.86456,"18:00:13  8 Dec 2017"
"116","Adults","12/8/2017",40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,"18:00:12  8 Dec 2017"
"117","All polls","12/8/2017",46.23886,52.0757,40.40202,38.05549,42.1697,33.94128,"18:00:11  8 Dec 2017"
"118","Voters","12/7/2017",46.23388,52.0851,40.38266,37.97556,42.08656,33.86456,"18:00:14  7 Dec 2017"
"119","Adults","12/7/2017",40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,"18:00:12  7 Dec 2017"
"120","All polls","12/7/2017",46.23886,52.0757,40.40202,38.05549,42.1697,33.94128,"18:00:11  7 Dec 2017"
"121","Voters","12/6/2017",46.23388,52.0851,40.38266,37.97556,42.08656,33.86456,"12:14:09  6 Dec 2017"
"122","Adults","12/6/2017",40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,"12:14:08  6 Dec 2017"
"123","All polls","12/6/2017",46.23886,52.0757,40.40202,38.05549,42.1697,33.94128,"12:14:07  6 Dec 2017"
"124","Adults","12/5/2017",40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,"15:25:09  5 Dec 2017"
"125","Voters","12/5/2017",46.22324,52.07066,40.37581,37.50686,41.71905,33.29467,"15:25:10  5 Dec 2017"
"126","All polls","12/5/2017",46.22826,52.06171,40.39481,37.59274,41.80819,33.37728,"15:25:08  5 Dec 2017"
"127","Voters","12/4/2017",45.76001,51.54951,39.9705,37.59576,42.20414,32.98738,"18:00:12  4 Dec 2017"
"128","Adults","12/4/2017",40.12899,46.23104,34.02694,32.70291,37.97496,27.43086,"18:00:11  4 Dec 2017"
"129","All polls","12/4/2017",45.78395,51.55761,40.01028,37.68958,42.29958,33.07959,"18:00:10  4 Dec 2017"
"130","Voters","12/3/2017",45.76001,51.54951,39.9705,37.59576,42.20414,32.98738,"18:00:12  3 Dec 2017"
"131","Adults","12/3/2017",40.12899,46.23104,34.02694,32.70291,37.97496,27.43086,"18:00:10  3 Dec 2017"
