date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
1920-11-07,1920,0,,RII,CHI,1545.894,1484.349,0.6744653897706056,0.32553461022939445,1540.573,1489.67,0,0
1920-11-07,1920,0,,ZAN,COL,1300.0,1394.807,0.457209209875749,0.542790790124251,1278.366,1416.441,0,10
1920-11-07,1920,0,,CHT,ARI,1313.938,1507.955,0.3224180406221354,0.6775819593778646,1305.494,1516.399,3,6
1920-11-07,1920,0,,PUL,HAM,1300.0,1421.25,0.4197496883637788,0.5802503116362212,1294.326,1426.924,13,14
1920-11-07,1920,0,,RCH,UTI,1501.719,1310.382,0.8139062165368742,0.18609378346312577,1511.868,1300.233,27,7
1920-11-11,1920,0,,CHL,CHI,1300.0,1489.67,0.3279088695976134,0.6720911304023867,1281.104,1508.566,0,20
1920-11-11,1920,0,,THO,RII,1300.0,1540.573,0.26684690600891026,0.7331530939910897,1307.111,1533.462,7,7
1920-11-14,1920,0,,RCH,ATN,1511.868,1290.834,0.8384234232144746,0.1615765767855254,1474.362,1328.34,0,6
1920-11-14,1920,0,,CTI,AKR,1429.088,1586.618,0.36990007958842075,0.6300999204115793,1433.056,1582.65,7,7
1920-11-14,1920,0,,RII,DAY,1533.462,1536.85,0.5877488989628165,0.41225110103718354,1496.08,1574.232,0,21
1920-11-14,1920,0,,GAR,HAM,1300.0,1426.924,0.41181599472436753,0.5881840052756324,1308.39,1418.534,7,6
1920-11-14,1920,0,,FTW,DHR,1335.595,1460.271,0.41495403298762035,0.5850459670123797,1338.188,1457.677,0,0
1920-11-14,1920,0,,BFF,COL,1551.359,1416.441,0.7596607557344566,0.24033924426554343,1567.27,1400.53,43,7
1920-11-14,1920,0,,CBD,CHT,1545.558,1305.494,0.8527192268204822,0.14728077317951782,1553.555,1297.498,21,0
1920-11-14,1920,0,,ARI,CNC,1516.399,1285.709,0.845812520321243,0.154187479678757,1524.675,1277.433,20,0
1920-11-14,1920,0,,MNM,CHI,1300.0,1508.566,0.304399963546868,0.6956000364531321,1292.077,1516.489,0,3
1920-11-21,1920,0,,AKR,DAY,1582.65,1574.232,0.6041119312780093,0.39588806872199067,1602.871,1554.012,13,0
1920-11-21,1920,0,,BFF,CBD,1567.27,1553.555,0.6113807767668593,0.3886192232331407,1549.69,1571.135,0,3
1920-11-21,1920,0,,ARI,LAN,1524.675,1300.0,0.8412426678993664,0.15875733210063359,1532.273,1292.402,14,0
1920-11-21,1920,0,,RCH,ROS,1474.362,1300.0,0.7986500510782363,0.20134994892176372,1484.651,1289.71,16,0
1920-11-21,1920,0,,CTI,TLM,1433.056,1278.649,0.7795435211924647,0.22045647880753527,1443.913,1267.791,14,0
1920-11-21,1920,0,,CHI,HAM,1516.489,1418.534,0.7187044630080391,0.28129553699196086,1532.679,1402.343,28,7
1920-11-21,1920,0,,ZAN,COL,1278.366,1400.53,0.4184687644809145,0.5815312355190855,1280.853,1398.043,0,0
1920-11-25,1920,0,,RCH,ATN,1484.651,1328.34,0.7814213368120926,0.21857866318790742,1441.473,1371.519,3,14
1920-11-25,1920,0,,CHB,HAM,1300.0,1402.343,0.44646509551974106,0.5535349044802589,1337.527,1364.817,27,0
1920-11-25,1920,0,,DAY,DHR,1554.012,1457.677,0.7168153088469423,0.28318469115305767,1571.78,1439.909,28,0
1920-11-25,1920,0,,ELY,COL,1300.0,1398.043,0.4525901556272016,0.5474098443727984,1301.446,1396.597,0,0
1920-11-25,1920,0,,CHT,CHI,1297.498,1532.679,0.2729631054153987,0.7270368945846013,1287.638,1542.54,0,6
1920-11-25,1920,0,,AKR,CBD,1602.871,1571.135,0.6357250407333228,0.3642749592666772,1617.382,1556.623,7,0
1920-11-28,1920,0,,ARI,CHI,1532.273,1542.54,0.5781219337540966,0.4218780662459034,1537.98,1536.833,7,6
1920-11-28,1920,0,,DAY,AKR,1571.78,1617.382,0.5278869955505084,0.47211300444949156,1542.935,1646.228,0,14
1920-11-28,1920,0,,RII,WJA,1496.08,1300.0,0.8180061992144855,0.18199380078551453,1508.242,1287.839,48,7
1920-11-28,1920,0,,CHT,THO,1287.638,1307.111,0.565146176095177,0.43485382390482297,1316.031,1278.718,27,0
1920-11-28,1920,0,,ROS,RCH,1289.71,1441.473,0.37767040524054885,0.6223295947594512,1284.673,1446.51,6,7
1920-11-28,1920,0,,DHR,LAN,1439.909,1292.402,0.7726417686351719,0.22735823136482813,1431.594,1300.717,0,0
1920-11-28,1920,0,,BFF,CTI,1549.69,1443.913,0.7277172310961919,0.2722827689038081,1560.198,1433.405,7,0
1920-12-04,1920,0,,BFF,CBD,1560.198,1556.623,0.5974255035931052,0.4025744964068948,1572.764,1544.056,7,3
1920-12-05,1920,0,,WGC,CBD,1300.0,1544.056,0.262942759700645,0.7370572402993549,1307.23,1536.826,0,0
1920-12-05,1920,0,,BFF,AKR,1572.764,1646.228,0.4878217339298069,0.5121782660701931,1573.136,1645.856,0,0
1920-12-05,1920,0,,ROS,RCH,1284.673,1446.51,0.36414032939671725,0.6358596706032827,1288.817,1442.366,0,0
1920-12-05,1920,0,,DHR,DTM,1431.594,1300.0,0.756149916544416,0.243850083455584,1423.781,1307.812,7,7
1920-12-05,1920,0,,ARI,CHI,1537.98,1536.833,0.5940594649863562,0.4059405350136438,1508.607,1566.206,0,10
1920-12-05,1920,0,,COL,CWP,1396.597,1300.0,0.7171213585477898,0.2828786414522102,1413.562,1283.035,24,0
1920-12-11,1920,0,,UAP,CBD,1300.0,1536.826,0.27108791197517074,0.7289120880248292,1330.771,1506.055,13,7
